Show_ID,Movie Title,Director,Country,Release_Year,Rating_class,Duration,Categories,Type
s1681,TE3N,Ribhu Dasgupta,India,2016,TV-14,128,"Dramas, International Movies, Thrillers",Movie
s1682,The Princess Switch: Switched Again,Mike Rohl,United States,2020,TV-G,97,"Children & Family Movies, Comedies, Dramas",Movie
s1683,Three Words to Forever,Cathy Garcia-Molina,Philippines,2018,TV-G,107,"Comedies, Dramas, International Movies",Movie
s1686,Ainu Mosir,Takeshi Fukunaga,"United States, Japan",2020,TV-PG,84,"Dramas, International Movies",Movie
s1687,Kevin Hart: Zero F**ks Given,Leslie Small,United States,2020,TV-MA,70,Stand-Up Comedy,Movie
s1690,Loving,Jeff Nichols,"United Kingdom, United States",2016,PG-13,124,"Dramas, Romantic Movies",Movie
s1691,Whose Streets?,"Sabaah Folayan, Damon Davis",United States,2017,R,102,Documentaries,Movie
s1692,A Very Country Christmas,Justin G. Dyck,"United States, Canada",2017,TV-G,84,"Music & Musicals, Romantic Movies",Movie
s1695,Cloudy with a Chance of Meatballs 2,"Cody Cameron, Kris Pearn",United States,2013,PG,95,"Children & Family Movies, Comedies",Movie
s1696,Hometown Holiday,Justin G. Dyck,Canada,2018,TV-G,84,Romantic Movies,Movie
s1701,Killer Cove,Damián Romay,United States,2019,TV-14,87,Thrillers,Movie
s1703,Fukrey Boyzzz: Space Mein Fukrapanti,Avinash Walzade,India,2020,TV-Y7,75,"Children & Family Movies, Comedies",Movie
s1704,Jingle Jangle: A Christmas Journey,David E. Talbert,United States,2020,PG,124,"Children & Family Movies, Music & Musicals",Movie
s1705,The Beginning of Life 2: Outside,Renata Terra,Brazil,2020,TV-PG,92,"Documentaries, International Movies",Movie
s1706,The Life Ahead,Edoardo Ponti,Italy,2020,PG-13,95,"Dramas, International Movies",Movie
s1710,First Love,Paul Soriano,Philippines,2018,TV-MA,123,"Dramas, International Movies, Romantic Movies",Movie
s1711,Fruitvale Station,Ryan Coogler,United States,2013,R,85,"Dramas, Independent Movies",Movie
s1713,Ludo,Anurag Basu,India,2020,TV-MA,150,"Comedies, Dramas, International Movies",Movie
s1714,Memories of a Teenager,Lucas Santa Ana,Argentina,2019,TV-MA,97,"Dramas, International Movies, LGBTQ Movies",Movie
s1721,What We Wanted,Ulrike Kofler,Austria,2020,TV-MA,93,"Dramas, International Movies",Movie
s1726,Citation,Kunle Afolayan,Nigeria,2020,TV-MA,151,"Dramas, International Movies",Movie
s1728,Girl's Revenge,Weica Wang,Taiwan,2020,TV-MA,82,"Dramas, International Movies",Movie
s1729,The Endless Trench,"Aitor Arregi, Jon Garaño, Jose Mari Goenaga","Spain, France, Canada",2019,TV-MA,148,"Dramas, Independent Movies, International Movies",Movie
s1730,The Late Bloomer,Kevin Pollak,United States,2016,R,95,Comedies,Movie
s1732,A New York Christmas Wedding,Otoja Abit,United States,2020,TV-MA,90,"Dramas, LGBTQ Movies, Romantic Movies",Movie
s1733,Alone/Together,Antoinette Jadaone,Philippines,2019,TV-14,103,"Dramas, International Movies, Romantic Movies",Movie
s1735,Midnight at the Magnolia,Maxwell McGuire,Canada,2020,TV-G,87,"Comedies, Romantic Movies",Movie
s1736,One More Try,Ruel S. Bayani,Philippines,2012,TV-14,102,"Dramas, International Movies, Romantic Movies",Movie
s1737,Operation Christmas Drop,Martin Wood,United States,2020,TV-G,96,"Children & Family Movies, Comedies, Romantic Movies",Movie
s1739,A Christmas Catch,,Canada,2018,TV-G,87,"Dramas, Romantic Movies",Movie
s1740,Christmas with a Prince,Justin G. Dyck,Canada,2018,TV-PG,86,"Comedies, Dramas, Romantic Movies",Movie
s1742,Miss India,Narendra Nath,India,2020,TV-PG,136,"Dramas, International Movies",Movie
s1743,Felix Lobrecht: Hype,Jan-Peter Horns,Germany,2020,TV-MA,60,Stand-Up Comedy,Movie
s1744,MOTHER,Tatsushi Omori,Japan,2020,TV-14,127,"Dramas, International Movies",Movie
s1745,The Beginning of Life,Estela Renner,,2016,TV-PG,96,"Documentaries, International Movies",Movie
s1746,Ya no estoy aquí: Una conversación entre Guillermo del Toro y Alfonso Cuarón,,,2020,TV-PG,15,Documentaries,Movie
s1748,Prospect,"Zeek Earl, Christopher Caldwell","Canada, United States",2018,R,100,"Sci-Fi & Fantasy, Thrillers",Movie
s1750,Christmas Break-In,Michael Kampa,United States,2019,TV-PG,87,"Children & Family Movies, Comedies",Movie
s1752,Elf Pets: A Fox Cub’s Christmas Tale,Chanda Bell,United States,2020,TV-Y,28,Children & Family Movies,Movie
s1753,Elf Pets: Santa’s Reindeer Rescue,Chanda Bell,United States,2020,TV-Y,27,Children & Family Movies,Movie
s1754,Elliot the Littlest Reindeer,Jennifer Westcott,Canada,2018,PG,90,Children & Family Movies,Movie
s1763,Mile 22,Peter Berg,"United States, China, Colombia",2018,R,94,Action & Adventure,Movie
s1764,Piercing,Nicolas Pesce,United States,2018,R,81,"Dramas, Independent Movies, Thrillers",Movie
s1765,Snowden,Oliver Stone,"United Kingdom, France, Germany, United States",2016,R,134,"Dramas, Thrillers",Movie
s1768,The Impossible,J.A. Bayona,"Spain, Thailand, United States",2012,PG-13,114,Dramas,Movie
s1771,Wheels of Fortune,Shaun Paul Piccinino,United States,2020,R,107,"Comedies, Sports Movies",Movie
s1773,The 12th Man,Harald Zwart,Norway,2018,TV-MA,130,"Action & Adventure, Dramas, International Movies",Movie
s1775,Hidden in Plain Sight,Stacia Crawford,United States,2019,TV-14,87,"Dramas, Independent Movies, Thrillers",Movie
s1776,His House,Remi Weekes,United Kingdom,2020,TV-14,93,"Horror Movies, Independent Movies",Movie
s1777,In Line,Tope Oshin,Nigeria,2017,TV-14,114,"Dramas, International Movies",Movie
s1778,Kaali Khuhi,Terrie Samundra,India,2020,TV-14,91,"Horror Movies, International Movies",Movie
s1781,Rogue City,Olivier Marchal,France,2020,TV-MA,116,"Dramas, International Movies, Thrillers",Movie
s1784,The Day of the Lord,Santiago Alvarado Ilarri,"Mexico, Spain",2020,TV-MA,93,"Horror Movies, International Movies",Movie
s1785,Pagpag: Nine Lives,Frasco Mortiz,Philippines,2013,TV-14,106,"Horror Movies, International Movies",Movie
s1786,Holidate,John Whitesell,United States,2020,TV-MA,105,"Comedies, Romantic Movies",Movie
s1787,La Gran Ilusión,Antonio Díaz,,2016,TV-14,50,International Movies,Movie
s1788,Metallica Through The Never,Nimród Antal,United States,2013,R,93,Music & Musicals,Movie
s1789,Nobody Sleeps in the Woods Tonight,Bartosz M. Kowalski,Poland,2020,TV-MA,103,"Horror Movies, International Movies",Movie
s1790,Secrets of the Saqqara Tomb,James Tovell,United States,2020,TV-PG,114,Documentaries,Movie
s1793,Guillermo Vilas: Settling the Score,Matías Gueilburt,Argentina,2020,TV-14,95,"Documentaries, International Movies, Sports Movies",Movie
s1794,Sarah Cooper: Everything's Fine,Natasha Lyonne,United States,2020,TV-MA,50,Comedies,Movie
s1797,Black '47,Lance Daly,"Ireland, Luxembourg, Belgium",2018,R,100,"Action & Adventure, Dramas, Independent Movies",Movie
s1798,I Am Woman,Unjoo Moon,Australia,2019,TV-MA,117,"Dramas, Music & Musicals",Movie
s1799,Alice Junior,Gil Baroni,Brazil,2019,TV-MA,87,"Comedies, International Movies, LGBTQ Movies",Movie
s1802,Over the Moon,Glen Keane,"China, United States",2020,PG,100,"Children & Family Movies, Music & Musicals",Movie
s1803,Shattered Memories,Chris Sivertson,United States,2018,TV-14,86,"Dramas, Thrillers",Movie
s1806,Bending the Arc,"Kief Davidson, Pedro Kos",United States,2017,TV-MA,102,Documentaries,Movie
s1807,Cadaver,Jarand Herdal,Norway,2020,TV-MA,87,"Horror Movies, International Movies",Movie
s1808,Exes Baggage,Dan Villegas,Philippines,2018,TV-MA,103,"Dramas, International Movies, Romantic Movies",Movie
s1809,Fisherman's Friends,Chris Foggin,United Kingdom,2019,PG-13,112,"Comedies, Dramas, Music & Musicals",Movie
s1810,The Hows of Us,Cathy Garcia-Molina,Philippines,2018,TV-14,120,"Dramas, International Movies, Romantic Movies",Movie
s1811,The Hummingbird Project,Kim Nguyen,"Canada, Belgium",2018,R,111,"Dramas, Independent Movies",Movie
s1812,"Yes, God, Yes",Karen Maine,United States,2020,R,78,"Comedies, Dramas, Independent Movies",Movie
s1813,Brave Blue World: Racing to Solve Our Water Crisis,Tim Neeves,"Canada, United Kingdom",2020,TV-PG,51,"Documentaries, International Movies",Movie
s1815,Rebecca,Ben Wheatley,United Kingdom,2020,PG-13,123,"Dramas, Romantic Movies, Thrillers",Movie
s1816,The Magic School Bus Rides Again The Frizz Connection,Richard Weston,Canada,2020,TV-Y,46,Children & Family Movies,Movie
s1817,Tremors: Shrieker Island,Don Michael Paul,United States,2020,PG-13,102,"Action & Adventure, Horror Movies",Movie
s1820,Ghadi,Amin Dora,Lebanon,2013,TV-MA,101,"Comedies, Dramas, International Movies",Movie
s1821,Heritages,Philippe Aractingi,"Lebanon, United Arab Emirates, France, Switzerland, Germany",2014,TV-14,96,"Documentaries, International Movies",Movie
s1822,Listen,Philippe Aractingi,Lebanon,2017,TV-MA,103,"Dramas, Independent Movies, International Movies",Movie
s1824,Panoptic,Rana Eid,Lebanon,2017,TV-MA,69,"Documentaries, International Movies",Movie
s1825,Taxi Ballad,Daniel Joseph,"Lebanon, United States, United Arab Emirates",2012,TV-MA,81,"Dramas, International Movies",Movie
s1831,What Did I Mess,Shady Hanna,Lebanon,2018,TV-14,98,"Comedies, International Movies, Romantic Movies",Movie
s1834,ParaNorman,"Sam Fell, Chris Butler",United States,2012,PG,93,"Children & Family Movies, Comedies",Movie
s1836,I Am Vengeance: Retaliation,Ross Boyask,United Kingdom,2020,R,82,Action & Adventure,Movie
s1837,Disconnect,"David 'Tosh' Gitonga, Michael Jones",Kenya,2018,TV-MA,107,"Comedies, International Movies, Romantic Movies",Movie
s1839,In a Valley of Violence,Ti West,United States,2016,R,104,Action & Adventure,Movie
s1843,The Trial of the Chicago 7,Aaron Sorkin,"United States, United Kingdom, India",2020,R,130,Dramas,Movie
s1844,Unfriended,Levan Gabriadze,"United States, Russia",2014,R,83,"Horror Movies, Thrillers",Movie
s1845,A Babysitter's Guide to Monster Hunting,Rachel Talalay,United States,2020,TV-PG,99,Children & Family Movies,Movie
s1846,Batman: The Killing Joke,Sam Liu,United States,2016,R,77,Action & Adventure,Movie
s1847,El-Khawaga's Dilemma,Peter Mimi,Egypt,2018,TV-14,94,"Action & Adventure, Comedies, International Movies",Movie
s1850,Kartini: Princess of Java,Hanung Bramantyo,"Indonesia, Netherlands",2017,TV-PG,118,"Dramas, International Movies",Movie
s1851,Love Like the Falling Rain,Lasja Fauzia Susatyo,Indonesia,2020,TV-14,87,"Dramas, International Movies, Romantic Movies",Movie
s1854,Rooting for Roona,"Pavitra Chalam, Akshay Shankar",India,2020,TV-PG,42,"Documentaries, International Movies",Movie
s1856,A Choo,"Kevin Ko, Peter Tsi",Taiwan,2020,TV-14,101,"Action & Adventure, International Movies, Romantic Movies",Movie
s1857,BLACKPINK: Light Up the Sky,Caroline Suh,United States,2020,TV-14,80,"Documentaries, Music & Musicals",Movie
s1858,The Three Deaths of Marisela Escobedo,Carlos Pérez Osorio,Mexico,2020,TV-MA,110,"Documentaries, International Movies",Movie
s1860,Octonauts & the Great Barrier Reef,Blair Simmons,United Kingdom,2020,TV-Y,47,Children & Family Movies,Movie
s1864,Hunterrr,Harshavardhan Kulkarni,India,2015,TV-MA,140,"Comedies, International Movies, Romantic Movies",Movie
s1868,House of the Witch,Alex Merkin,United States,2017,TV-MA,86,Horror Movies,Movie
s1870,Ginny Weds Sunny,Puneet Khanna,India,2020,TV-MA,126,"Comedies, International Movies, Romantic Movies",Movie
s1871,My Step Dad: The Hippie,Meltem Bozoflu,"Turkey, South Korea",2018,TV-MA,100,"Comedies, International Movies",Movie
s1872,Super Monsters: Dia de los Monsters,,Canada,2020,TV-Y,25,Children & Family Movies,Movie
s1873,The Forty-Year-Old Version,Radha Blank,United States,2020,R,124,"Comedies, Dramas, Independent Movies",Movie
s1875,Bigflo & Oli: Hip Hop Frenzy,"Bigflo & Oli, Jérémie Levypon",France,2020,TV-MA,100,"Documentaries, International Movies, Music & Musicals",Movie
s1880,Hubie Halloween,Steve Brill,United States,2020,PG-13,104,"Comedies, Horror Movies",Movie
s1882,American Pie 9: Girls' Rules,Mike Elliott,United States,2020,R,96,Comedies,Movie
s1883,Dolly Parton: Here I Am,Francis Whately,United Kingdom,2019,TV-14,90,"Documentaries, Music & Musicals",Movie
s1884,StarBeam: Halloween Hero,Jon Izen,Canada,2020,TV-Y,33,Children & Family Movies,Movie
s1885,Walk Away from Love,Christopher Nolen,United States,2017,TV-14,81,"Dramas, Romantic Movies",Movie
s1887,David Attenborough: A Life on Our Planet,"Alastair Fothergill, Jonnie Hughes, Keith Scholey","United States, United Kingdom",2020,PG,84,Documentaries,Movie
s1888,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",Amy Segal,Canada,2020,TV-MA,44,"Documentaries, LGBTQ Movies",Movie
s1889,Good Game: The Beginning,Umut Aral,Turkey,2018,TV-14,115,"Dramas, International Movies, Sports Movies",Movie
s1892,A Chaster Marriage,Umut Kirca,Turkey,2016,TV-14,94,"Comedies, International Movies, Romantic Movies",Movie
s1893,A Go! Go! Cory Carson Halloween,"Alex Woo, Stanley Moore",,2020,TV-Y,22,Children & Family Movies,Movie
s1897,Òlòtūré,Kenneth Gyang,Nigeria,2020,TV-MA,107,"Dramas, International Movies",Movie
s1898,Serious Men,Sudhir Mishra,India,2020,TV-MA,115,"Comedies, Dramas, International Movies",Movie
s1899,The Binding,Domenico de Feudis,Italy,2020,TV-MA,93,"Horror Movies, International Movies, Thrillers",Movie
s1900,Turkish Dance School,Burak Aksak,Turkey,2017,TV-MA,107,"Comedies, International Movies, Romantic Movies",Movie
s1901,Vampires vs. the Bronx,Oz Rodriguez,United States,2020,PG-13,86,"Comedies, Horror Movies",Movie
s1902,You've Got This,Salvador Espinosa,Mexico,2020,TV-MA,112,"Comedies, International Movies, Romantic Movies",Movie
s1903,All Because of You,Adrian Teh,Malaysia,2020,TV-PG,102,"Action & Adventure, Comedies, International Movies",Movie
s1904,An Ordinary Man,Brad Silberling,"Serbia, United States",2017,R,91,"Dramas, Thrillers",Movie
s1905,Carlos Almaraz: Playing with Fire,"Elsa Flores Almaraz, Richard J Montoya",United States,2019,TV-14,83,"Documentaries, LGBTQ Movies",Movie
s1906,Cold Harbour,Carey McKenzie,South Africa,2013,TV-MA,73,"Action & Adventure, Dramas, International Movies",Movie
s1910,Free State of Jones,Gary Ross,United States,2016,R,139,"Action & Adventure, Dramas",Movie
s1912,Human Nature,Adam Bolt,United States,2019,TV-14,95,Documentaries,Movie
s1913,Hunt for the Wilderpeople,Taika Waititi,New Zealand,2016,PG-13,101,"Action & Adventure, Comedies, Dramas",Movie
s1914,I'm Leaving Now,"Lindsey Cordero, Armando Croda","United States, Mexico",2019,TV-MA,75,"Documentaries, International Movies",Movie
s1920,The American Game,Mostafa Abu Seif,,2019,TV-PG,91,"Comedies, International Movies, Romantic Movies",Movie
s1921,The Book of Sun,Faris Godus,Saudi Arabia,2020,TV-14,120,"Comedies, Independent Movies, International Movies",Movie
s1922,The Outpost,Rod Lurie,"United States, Bulgaria",2020,R,123,"Action & Adventure, Dramas",Movie
s1925,We Have Always Lived in the Castle,Stacie Passon,United States,2018,TV-14,95,"Dramas, Thrillers",Movie
s1927,American Murder: The Family Next Door,Jenny Popplewell,United States,2020,TV-MA,84,Documentaries,Movie
s1928,Baxu and the Giants,Florian Schott,Namibia,2019,TV-PG,29,"Dramas, International Movies",Movie
s1931,Poacher,Tom Whitworth,"United Kingdom, Kenya",2018,TV-MA,28,"Dramas, International Movies, Thrillers",Movie
s1932,The Boys in the Band,Joe Mantello,United States,2020,R,122,"Dramas, LGBTQ Movies",Movie
s1933,The Boys in the Band: Something Personal,,United States,2020,TV-MA,28,"Documentaries, LGBTQ Movies",Movie
s1935,Bully,Lee Hirsch,United States,2012,PG-13,98,Documentaries,Movie
s1936,Michelle Buteau: Welcome to Buteaupia,Page Hurwitz,United States,2020,TV-MA,59,Stand-Up Comedy,Movie
s1937,Welcome to Sudden Death,Dallas Jackson,United States,2020,R,80,Action & Adventure,Movie
s1939,Ankhon Dekhi,Rajat Kapoor,India,2013,TV-PG,104,"Dramas, Independent Movies, International Movies",Movie
s1940,Dedh Ishqiya,Abhishek Chaubey,India,2014,TV-14,146,"Comedies, Dramas, International Movies",Movie
s1951,Time Out,Rikhil Bahadur,India,2015,TV-14,98,"Dramas, Independent Movies, International Movies",Movie
s1954,My Mother's Wound,Ozan Açıktan,,2016,TV-MA,115,"Dramas, International Movies",Movie
s1957,Zulu Man in Japan,,,2019,TV-MA,44,"Documentaries, International Movies, Music & Musicals",Movie
s1958,Real Steel,Shawn Levy,"United States, India",2011,PG-13,127,"Action & Adventure, Sci-Fi & Fantasy, Sports Movies",Movie
s1960,Enola Holmes,Harry Bradbeer,United Kingdom,2020,PG-13,124,"Action & Adventure, Children & Family Movies, Dramas",Movie
s1961,Kiss the Ground,"Joshua Tickell, Rebecca Harrell Tickell",United States,2020,TV-G,85,Documentaries,Movie
s1963,A Love Song for Latasha,Sophia Nahli Allison,United States,2020,TV-PG,20,Documentaries,Movie
s1964,DTC Yukemuri Junjo Hen From High & Low,Norihisa Hiranuma,Japan,2018,TV-PG,102,"Dramas, International Movies",Movie
s1965,High & Low The Movie,Shigeaki Kubo,Japan,2016,TV-MA,129,"Action & Adventure, International Movies",Movie
s1966,High & Low The Movie 2 / End of Sky,"Shigeaki Kubo, Tsuyoshi Nakakuki",Japan,2017,TV-MA,124,"Action & Adventure, International Movies",Movie
s1967,High & Low The Movie 3 / Final Mission,"Shigeaki Kubo, Tsuyoshi Nakakuki",Japan,2017,TV-MA,118,"Action & Adventure, International Movies",Movie
s1968,High & Low The Red Rain,Yudai Yamaguchi,Japan,2016,TV-MA,111,"Action & Adventure, International Movies",Movie
s1969,High & Low The Worst,Shigeaki Kubo,,2019,TV-MA,125,"Action & Adventure, International Movies",Movie
s1970,Road To High & Low,Shigeaki Kubo,Japan,2016,TV-MA,94,"Action & Adventure, International Movies",Movie
s1971,The Blue Elephant 2,Marwan Hamed,Egypt,2019,TV-MA,130,"Horror Movies, International Movies, Thrillers",Movie
s1972,Bhaji In Problem,Smeep Kang,India,2013,TV-14,117,"Comedies, International Movies",Movie
s1973,Black,Raja Chanda,India,2015,TV-14,137,"Action & Adventure, International Movies",Movie
s1975,Saheb Biwi Aur Gangster Returns,Tigmanshu Dhulia,India,2013,TV-MA,139,"Dramas, International Movies, Romantic Movies",Movie
s1976,Santa Banta Pvt Ltd,Akashdeep,India,2016,TV-14,111,"Comedies, International Movies",Movie
s1977,The Royal Bengal Tiger,Rajesh Ganguly,India,2014,TV-MA,103,"Dramas, International Movies, Thrillers",Movie
s1978,Dolly Kitty Aur Woh Chamakte Sitare,Alankrita Shrivastava,India,2020,TV-MA,120,"Dramas, Independent Movies, International Movies",Movie
s1982,Whipped,Chandra Liow,Indonesia,2020,TV-14,98,"Comedies, International Movies, Romantic Movies",Movie
s1983,Anaamika,Sekhar Kammula,India,2014,TV-14,130,"International Movies, Thrillers",Movie
s1985,GIMS: On the Record,Florent Bodin,France,2020,TV-MA,96,"Documentaries, International Movies, Music & Musicals",Movie
s1986,Horrid Henry's Gross Day Out,Gary Andrews,United Kingdom,2020,TV-Y,61,"Children & Family Movies, Comedies",Movie
s1987,Nee Enge En Anbe,Sekhar Kammula,,2014,TV-14,137,"International Movies, Thrillers",Movie
s1988,Residue,Merawi Gerima,United States,2020,TV-MA,90,"Dramas, Independent Movies",Movie
s1993,Dr Jason Leong Hashtag Blessed,Kubhaer T. Jethwani,,2018,TV-MA,69,Stand-Up Comedy,Movie
s1996,The Devil All The Time,Antonio Campos,United States,2020,R,139,"Dramas, Thrillers",Movie
s1997,The Paramedic,Carles Torras,Spain,2020,TV-MA,94,"Dramas, International Movies, Thrillers",Movie
s1998,The Take,James Watkins,"United Kingdom, France, United States, Belgium, Luxembourg, China, Germany",2016,R,92,"Action & Adventure, International Movies",Movie
s2000,Hope Frozen: A Quest to Live Twice,Pailin Wedel,"Thailand, United States",2020,TV-PG,80,"Documentaries, International Movies",Movie
s2001,Michael McIntyre: Showman,Chris Howe,United Kingdom,2020,TV-MA,63,Stand-Up Comedy,Movie
s2004,The Smurfs 2,Raja Gosnell,"United States, France, Canada, Belgium",2013,PG,105,"Children & Family Movies, Comedies",Movie
s2005,Wish Upon a Unicorn,Steve Bencich,,2020,PG,93,Children & Family Movies,Movie
s2006,Lara and the Beat,Tosin Coker,Nigeria,2018,TV-MA,140,"Dramas, International Movies, Music & Musicals",Movie
s2008,Dad Wanted,Javier Colinas,Mexico,2020,TV-14,103,"Children & Family Movies, Comedies, Dramas",Movie
s2011,How to Train Your Dragon 2,Dean DeBlois,United States,2014,PG,102,Children & Family Movies,Movie
s2012,Pets United,Reinhard Klooss,"Germany, China, United Kingdom",2020,TV-Y7,93,"Children & Family Movies, Comedies",Movie
s2015,Wonho Chung: Live in New York,Shaun Mir,,2014,TV-14,69,Stand-Up Comedy,Movie
s2016,Aapla Manus,Satish Rajwade,India,2018,TV-14,133,"Dramas, International Movies, Thrillers",Movie
s2017,Ani... Dr. Kashinath Ghanekar,Abhijeet Deshpande,India,2018,TV-14,157,"Dramas, International Movies",Movie
s2018,Bhai: Vyakti Ki Valli - Poorvardha,Mahesh Manjrekar,India,2019,TV-14,116,"Dramas, International Movies",Movie
s2019,Bhai: Vyakti Ki Valli - Uttarardh,Mahesh Manjrekar,India,2019,TV-PG,112,"Dramas, International Movies",Movie
s2020,Cycle,Prakash Kunte,India,2018,TV-PG,96,"Comedies, Dramas, International Movies",Movie
s2021,Dhh,Manish Saini,India,2017,TV-G,127,"Children & Family Movies, Dramas, International Movies",Movie
s2024,Kaagar,Makarand Mane,India,2019,TV-MA,130,"Dramas, International Movies, Romantic Movies",Movie
s2025,Night of Knots,Hakan Algül,Turkey,2018,TV-MA,93,"Comedies, International Movies, Romantic Movies",Movie
s2026,PhotoCopy,Vijay Maurya,India,2016,TV-14,138,"Comedies, Dramas, International Movies",Movie
s2027,Poshter Girl,Sameer Patil,India,2016,TV-14,138,"Comedies, Dramas, International Movies",Movie
s2028,Satria Heroes: Revenge of the Darkness,"Kenzo Maihara, Amandha Wyanto",Indonesia,2017,TV-G,92,Children & Family Movies,Movie
s2029,Son Of Adam,Ahmed Nader Galal,Egypt,2018,TV-14,110,"Dramas, International Movies, Thrillers",Movie
s2030,The Babysitter: Killer Queen,McG,United States,2020,TV-MA,102,"Comedies, Horror Movies",Movie
s2031,Cargo,Arati Kadav,India,2020,TV-14,113,"Comedies, Dramas, Independent Movies",Movie
s2032,Cuties,Maïmouna Doucouré,France,2020,TV-MA,96,"Dramas, International Movies",Movie
s2035,So Much Love to Give,Marcos Carnevale,Argentina,2020,TV-14,108,"Comedies, International Movies, Music & Musicals",Movie
s2036,The Social Dilemma,Jeff Orlowski,United States,2020,PG-13,94,Documentaries,Movie
s2037,#Alive,Cho Il,South Korea,2020,TV-MA,99,"Horror Movies, International Movies, Thrillers",Movie
s2039,My Octopus Teacher,"Pippa Ehrlich, James Reed",South Africa,2020,TV-G,86,"Children & Family Movies, Documentaries, International Movies",Movie
s2044,Villain,Philip Barantini,United Kingdom,2020,R,97,Dramas,Movie
s2046,I'm Thinking of Ending Things,Charlie Kaufman,United States,2020,R,135,"Dramas, Independent Movies",Movie
s2047,Kandasamys: The Wedding,Jayan Moodley,South Africa,2019,TV-14,93,"Comedies, Dramas, International Movies",Movie
s2049,The Lost Okoroshi,Abba T. Makama,Nigeria,2019,TV-MA,94,"Comedies, Dramas, Independent Movies",Movie
s2050,You're My Boss,Antoinette Jadaone,Philippines,2015,TV-14,117,"Comedies, International Movies, Romantic Movies",Movie
s2051,Afonso Padilha: Classless,"Junior Carelli, Rudge Campos",Brazil,2020,TV-MA,63,Stand-Up Comedy,Movie
s2052,Ave Maryam,Ertanto Robby Soediskam,Indonesia,2018,TV-PG,73,"Dramas, Independent Movies, International Movies",Movie
s2053,"Love, Guaranteed",Mark Steven Johnson,United States,2020,TV-PG,91,"Comedies, Independent Movies, Romantic Movies",Movie
s2056,Freaks – You're One of Us,Felix Binder,Germany,2020,TV-MA,93,"Dramas, Independent Movies, International Movies",Movie
s2058,Sky Tour: The Movie,Nguyen Thanh Tung,Vietnam,2020,TV-G,93,"Documentaries, International Movies, Music & Musicals",Movie
s2060,Adrift,Baltasar Kormákur,"Hong Kong, Iceland, United States",2018,PG-13,96,"Action & Adventure, Dramas, Romantic Movies",Movie
s2061,Always Be My Maybe,Dan Villegas,Philippines,2016,TV-14,112,"International Movies, Romantic Movies",Movie
s2062,Barbie Princess Adventure,Conrad Helten,Netherlands,2020,TV-Y,72,"Children & Family Movies, Music & Musicals",Movie
s2066,Children of the Sea,Ayumu Watanabe,"Japan, United States",2019,TV-PG,112,"Anime Features, International Movies",Movie
s2068,Fate/Grand Order -First Order-,Hitoshi Namba,Japan,2016,TV-14,72,"Action & Adventure, Anime Features, International Movies",Movie
s2072,Puss in Boots,Chris Miller,United States,2011,PG,92,"Children & Family Movies, Comedies",Movie
s2076,"Take the Ball, Pass the Ball",Duncan McMath,Spain,2018,TV-MA,109,"Documentaries, International Movies, Sports Movies",Movie
s2077,The Boss Baby: Get That Baby!,"Dan Forgione, Pete Jacobs, Matt Whitlock",United States,2020,TV-Y7,115,"Children & Family Movies, Comedies",Movie
s2078,The Match,Francesco Carnesecchi,Italy,2020,TV-MA,97,"Dramas, International Movies, Sports Movies",Movie
s2080,The Smurfs,Raja Gosnell,"United States, Belgium, Canada, France",2011,PG,103,"Children & Family Movies, Comedies",Movie
s2082,True: Friendship Day,"Mark Thornton, Todd Kauffman",Canada,2020,TV-Y,24,Children & Family Movies,Movie
s2083,Maniyarayile Ashokan,Shamzu Zayba,India,2020,TV-14,110,"Comedies, International Movies, Romantic Movies",Movie
s2084,The Debt Collector 2,Jesse V. Johnson,United States,2020,TV-MA,97,Action & Adventure,Movie
s2085,All Together Now,Brett Haley,United States,2020,PG,94,Dramas,Movie
s2088,Santana,"Chris Roland, Maradona Dias Dos Santos","South Africa, Angola",2020,TV-MA,107,"Action & Adventure, International Movies",Movie
s2089,Unknown Origins,David Galán Galindo,Spain,2020,TV-MA,97,"International Movies, Thrillers",Movie
s2092,The Bridge Curse,Lester Hsi,Taiwan,2020,TV-MA,88,"Horror Movies, International Movies, Thrillers",Movie
s2093,The Young Messiah,Cyrus Nowrasteh,United States,2016,PG-13,111,"Dramas, Faith & Spirituality",Movie
s2095,Lingua Franca,Isabel Sandoval,"United States, Philippines",2019,TV-MA,94,"Dramas, International Movies, LGBTQ Movies",Movie
s2096,Making The Witcher,Nathan Wiley,United States,2020,TV-MA,33,Documentaries,Movie
s2098,Rising Phoenix,,United Kingdom,2020,PG-13,107,"Documentaries, International Movies, Sports Movies",Movie
s2101,Septembers of Shiraz,Wayne Blair,United States,2016,PG-13,110,"Dramas, Thrillers",Movie
s2104,Class of '83,Atul Sabharwal,India,2020,TV-14,98,"Dramas, International Movies, Thrillers",Movie
s2105,Dark Forces,Bernardo Arellano,Mexico,2020,TV-MA,81,"Horror Movies, Independent Movies, International Movies",Movie
s2108,The Sleepover,Trish Sie,United States,2020,TV-PG,104,"Action & Adventure, Children & Family Movies, Comedies",Movie
s2110,John Was Trying to Contact Aliens,,United States,2020,TV-PG,17,"Documentaries, LGBTQ Movies",Movie
s2111,Scarecrow,Khaled Marei,Egypt,2019,TV-MA,121,"Comedies, International Movies",Movie
s2112,The Crimes That Bind,Sebastián Schindel,Argentina,2020,TV-14,100,"Dramas, International Movies",Movie
